account_id,district_id,frequency,date
1,18,"POPLATEK MESICNE",950324
2,1,"POPLATEK MESICNE",930226
3,5,"POPLATEK MESICNE",970707
4,12,"POPLATEK MESICNE",960221
5,15,"POPLATEK MESICNE",970530
6,51,"POPLATEK MESICNE",940927
7,60,"POPLATEK MESICNE",961124
8,57,"POPLATEK MESICNE",950921
9,70,"POPLATEK MESICNE",930127
10,54,"POPLATEK MESICNE",960828
11,76,"POPLATEK MESICNE",951010
12,21,"POPLATEK MESICNE",970415
13,76,"POPLATEK MESICNE",970817
14,47,"POPLATEK MESICNE",961127
15,70,"POPLATEK MESICNE",931002
16,12,"POPLATEK MESICNE",970923
17,1,"POPLATEK MESICNE",970108
18,43,"POPLATEK TYDNE",930526
19,21,"POPLATEK MESICNE",950407
20,74,"POPLATEK MESICNE",960824
21,54,"POPLATEK MESICNE",971206
22,1,"POPLATEK MESICNE",940323
23,30,"POPLATEK MESICNE",930522
24,74,"POPLATEK MESICNE",961205
25,68,"POPLATEK MESICNE",960728
26,52,"POPLATEK MESICNE",930808
27,73,"POPLATEK MESICNE",930926
29,7,"POPLATEK MESICNE",941124
30,36,"POPLATEK MESICNE",950304
31,68,"POPLATEK MESICNE",940427
32,5,"POPLATEK MESICNE",950828
33,22,"POPLATEK MESICNE",930826
34,67,"POPLATEK TYDNE",930917
35,75,"POPLATEK MESICNE",930707
36,1,"POPLATEK MESICNE",930701
37,20,"POPLATEK MESICNE",970818
38,19,"POPLATEK TYDNE",970808
39,36,"POPLATEK MESICNE",930922
40,64,"POPLATEK MESICNE",931025
41,72,"POPLATEK MESICNE",970802
42,39,"POPLATEK MESICNE",960816
43,36,"POPLATEK MESICNE",940612
44,32,"POPLATEK MESICNE",930510
45,64,"POPLATEK MESICNE",970902
47,45,"POPLATEK MESICNE",930808
48,21,"POPLATEK MESICNE",961117
49,1,"POPLATEK MESICNE",970406
50,1,"POPLATEK MESICNE",940506
51,67,"POPLATEK MESICNE",960511
52,16,"POPLATEK MESICNE",970129
53,77,"POPLATEK MESICNE",950607
54,4,"POPLATEK MESICNE",950502
55,20,"POPLATEK MESICNE",960219
